sortid,genelist,drdist,FC,pValues,pAdjusted
1856,MCOLN2,8.08627699121359e-19,7.68249324499857e-05,0.993006644684223,0.999999999923338
1475,HPS4,8.00294712991709e-19,7.60332441400098e-05,0.993042770679305,0.999999999923338
1871,MED17,7.98973991725851e-19,7.59077669616433e-05,0.993048513639972,0.999999999923338
2593,RANBP2,7.90773095712047e-19,7.51286280786017e-05,0.993084280777335,0.999999999923338
324,ATP2A2,7.89884409879514e-19,7.50441970986492e-05,0.993088167780823,0.999999999923338
1029,ELMOD2,7.87356774390696e-19,7.48040551570639e-05,0.993099235321076,0.999999999923338
2465,PPP2R2A,7.81512813061331e-19,7.42488405201468e-05,0.993124891993641,0.999999999923338
3625,XRCC3,7.77357770331816e-19,7.38540842220771e-05,0.993143192226646,0.999999999923338
1841,MAST4,7.61750565003126e-19,7.23712974013776e-05,0.993212372473231,0.999999999923338
1497,HUWE1,7.57524224281881e-19,7.19697673266929e-05,0.993231227751209,0.999999999923338
1358,GSS,7.57481396807426e-19,7.19656984358603e-05,0.993231419089356,0.999999999923338
919,DNAJA2,7.49547971357193e-19,7.1211971009786e-05,0.993266956656784,0.999999999923338
2205,OGFOD1,7.47294820119493e-19,7.09979068714637e-05,0.993277083842673,0.999999999923338
1235,G3BP1,7.40993850161876e-19,7.03992734189004e-05,0.993305485997628,0.999999999923338
425,BTF3L4,7.40467596920195e-19,7.03492759110391e-05,0.993307863583342,0.999999999923338
2166,NSG1,7.39644991498334e-19,7.02711230032966e-05,0.993311581766599,0.999999999923338
3140,SSR2,7.34525664588004e-19,6.97847533865955e-05,0.993334767790606,0.999999999923338
1105,FADS2,7.30610415253136e-19,6.9412779033005e-05,0.993352554989758,0.999999999923338
848,DCP2,7.29005620138638e-19,6.92603129767453e-05,0.993359859433361,0.999999999923338
3521,UBE2K,7.28595733424052e-19,6.92213710518094e-05,0.993361726377312,0.999999999923338
1884,METTL8,7.25496814961685e-19,6.89269534826389e-05,0.993375858299014,0.999999999923338
1070,ERMAP,7.1525250005958e-19,6.79536764093878e-05,0.993422791312723,0.999999999923338
3772,ZNF888,7.10469065457671e-19,6.74992187639597e-05,0.993444821096581,0.999999999923338
197,ANGPTL6,7.02370509008485e-19,6.67298028104533e-05,0.993482288211159,0.999999999923338
2872,SENP6,6.98942796579524e-19,6.64041476590171e-05,0.993498211195818,0.999999999923338
81,ACBD5,6.94672731144948e-19,6.59984634499247e-05,0.993518101939751,0.999999999923338
1363,GTF2A1,6.91833225493048e-19,6.57286917983529e-05,0.99353136273726,0.999999999923338
29,AC006122.1,6.90341698531042e-19,6.55869869591198e-05,0.993538339231817,0.999999999923338
2882,SERHL,6.85188596255234e-19,6.50974084612809e-05,0.993562500632392,0.999999999923338
3620,XIAP,6.69178817292138e-19,6.35763745062043e-05,0.993638151263253,0.999999999923338
516,CBFA2T2,6.67466166403171e-19,6.34136614443116e-05,0.993646297348668,0.999999999923338
1586,ISCA1,6.62851567856189e-19,6.2975244330922e-05,0.993668298480113,0.999999999923338
645,CEPT1,6.6216265761762e-19,6.29097933420432e-05,0.993671589576229,0.999999999923338
2960,SLC25A25,6.61582125140084e-19,6.28546389509431e-05,0.993674364254265,0.999999999923338
2487,PRICKLE3,6.37829541692363e-19,6.05979878111583e-05,0.993788953552738,0.999999999923338
2889,SERPINB9,6.37596277078134e-19,6.05758261436189e-05,0.9937900893739,0.999999999923338
1749,LRIF1,6.36294743556887e-19,6.04521719267774e-05,0.993796430669323,0.999999999923338
2057,NCOA2,6.26339365733984e-19,5.95063457702041e-05,0.993845151107911,0.999999999923338
3131,SRSF4,6.22930624411248e-19,5.91824929982261e-05,0.993861921965058,0.999999999923338
1304,GMPR2,6.17415094751113e-19,5.865848152295e-05,0.993889155622958,0.999999999923338
3683,ZKSCAN5,6.01479557783327e-19,5.7144501044128e-05,0.993968530336919,0.999999999923338
2250,P2RY10,5.9816706099612e-19,5.68297921339651e-05,0.993985161349351,0.999999999923338
1986,MTMR6,5.9606520896737e-19,5.66301024123491e-05,0.993995737982396,0.999999999923338
3226,TAOK1,5.9344243108399e-19,5.63809213195657e-05,0.994008962131555,0.999999999923338
910,DLGAP4,5.90017232885921e-19,5.60555050365465e-05,0.994026276197771,0.999999999923338
1504,ICE2,5.86125818452609e-19,5.56857951548557e-05,0.994046008044087,0.999999999923338
984,ECT2,5.74008646168106e-19,5.45345843525875e-05,0.994107872745952,0.999999999923338
2650,RFC1,5.71408151204051e-19,5.42875202832176e-05,0.994121234533375,0.999999999923338
758,CREB1,5.70840945025442e-19,5.42336319778774e-05,0.99412415297239,0.999999999923338
374,BAZ2A,5.68268060059832e-19,5.39891910393597e-05,0.994137409448814,0.999999999923338
2000,MTX3,5.67922722217344e-19,5.39563816804293e-05,0.994139191042545,0.999999999923338
3603,WDR76,5.63432416711189e-19,5.35297732207328e-05,0.994162405976283,0.999999999923338
3725,ZNF446,5.55464105190896e-19,5.27727313893039e-05,0.994203831156321,0.999999999923338
3134,SRSF9,5.54433635421225e-19,5.26748300058456e-05,0.994209209941757,0.999999999923338
3666,ZDHHC4,5.49991469711939e-19,5.22527951424364e-05,0.994232454321206,0.999999999923338
1473,HP1BP3,5.49949250010993e-19,5.22487839940714e-05,0.994232675692354,0.999999999923338
429,BUD23,5.42830752247396e-19,5.1572480040561e-05,0.994270122505639,0.999999999923338
2046,NBPF9,5.4017882519232e-19,5.13205295853765e-05,0.9942841356769,0.999999999923338
3477,TSPYL2,5.37020812927415e-19,5.10204977175698e-05,0.994300868026049,0.999999999923338
1389,HADHA,5.29826719806941e-19,5.03370117095839e-05,0.994339169738427,0.999999999923338
808,CWC22,5.27953025731689e-19,5.01589984892606e-05,0.994349187995449,0.999999999923338
